ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1960-01-01,10150.27702122,6598.045492378422,9656.05167539365,10150.27702122,10150.27702122,-0.19505747417187055,-0.19505747417187055,-0.19505747417187055,-0.19505747417187055,-0.19505747417187055,-0.19505747417187055,0.0,0.0,0.0,8170.389623316048
1960-02-01,10176.83466428699,6959.040799318226,10244.499538135007,10176.83466428699,10176.83466428699,-0.1615366786157406,-0.1615366786157406,-0.1615366786157406,-0.1615366786157406,-0.1615366786157406,-0.1615366786157406,0.0,0.0,0.0,8532.902593796533
1960-03-01,10201.678911027078,10161.698805024154,13401.967007417246,10201.678911027078,10201.678911027078,0.1574400168149804,0.1574400168149804,0.1574400168149804,0.1574400168149804,0.1574400168149804,0.1574400168149804,0.0,0.0,0.0,11807.831410320212
1960-04-01,10228.236554094068,12032.54953136997,15108.881021207624,10228.236554094068,10228.236554094068,0.32366636298525076,0.32366636298525076,0.32366636298525076,0.32366636298525076,0.32366636298525076,0.32366636298525076,0.0,0.0,0.0,13538.772679310488
1960-05-01,10253.937478072294,12373.207957826855,15374.367660266433,10253.937478072294,10253.937478072294,0.36229651191809104,0.36229651191809104,0.36229651191809104,0.36229651191809104,0.36229651191809104,0.36229651191809104,0.0,0.0,0.0,13968.903259804072
1960-06-01,10280.495099516462,10946.649446509027,14080.843662164987,10280.495099516462,10280.495099516462,0.21645665739787584,0.21645665739787584,0.21645665739787584,0.21645665739787584,0.21645665739787584,0.21645665739787584,0.0,0.0,0.0,12505.776705153039
1960-07-01,10306.196023494687,8121.9458960750235,11200.490316947873,10306.196023494687,10306.196023494687,-0.06327498022688348,-0.06327498022688348,-0.06327498022688348,-0.06327498022688348,-0.06327498022688348,-0.06327498022688348,0.0,0.0,0.0,9654.071673893675
1960-08-01,10332.753670129696,6661.809446328545,9701.353355341344,10332.753670129696,10332.753670129696,-0.20668949028437783,-0.20668949028437783,-0.20668949028437783,-0.20668949028437783,-0.20668949028437783,-0.20668949028437783,0.0,0.0,0.0,8197.082080816554
1960-09-01,10359.311316764704,5618.765525837965,8694.417330027798,10359.311316764704,10359.311316764704,-0.305924474889098,-0.305924474889098,-0.305924474889098,-0.305924474889098,-0.305924474889098,-0.305924474889098,0.0,0.0,0.0,7190.144441970771
1960-10-01,10385.012265121166,8399.651290856435,11596.525700304266,10385.012265121166,10385.012265121166,-0.03177157967311232,-0.03177157967311232,-0.03177157967311232,-0.03177157967311232,-0.03177157967311232,-0.03177157967311232,0.0,0.0,0.0,10055.06402053362
1960-11-01,10411.600431631661,9118.434944767181,12264.231691733701,10411.600431631661,10411.600431631661,0.024028820755099396,0.024028820755099396,0.024028820755099396,0.024028820755099396,0.024028820755099396,0.024028820755099396,0.0,0.0,0.0,10661.778912177053
1960-12-01,10437.330915351495,7628.022450926932,10748.139808053906,10437.330915351495,10437.330915351495,-0.11920013054043874,-0.11920013054043874,-0.11920013054043874,-0.11920013054043874,-0.11920013054043874,-0.11920013054043874,0.0,0.0,0.0,9193.199707747839
1961-01-01,10463.91908186199,6944.282412035895,10064.71886248754,10463.91908186199,10463.91908186199,-0.1845403448393617,-0.1845403448393617,-0.1845403448393617,-0.1845403448393617,-0.1845403448393617,-0.1845403448393617,0.0,0.0,0.0,8532.903846124002
1961-02-01,10602.15555791796,7336.3356942580185,10483.064675734555,10602.15555791796,10602.15555791796,-0.15957487136528034,-0.15957487136528034,-0.15957487136528034,-0.15957487136528034,-0.15957487136528034,-0.15957487136528034,0.0,0.0,0.0,8910.317948568509
1961-03-01,10727.014310484641,10950.293074502479,13895.972223600173,10727.014310484641,10727.014310484641,0.1596762236693811,0.1596762236693811,0.1596762236693811,0.1596762236693811,0.1596762236693811,0.1596762236693811,0.0,0.0,0.0,12439.863446830239
1961-04-01,10865.250786540613,12948.363296749973,16061.174284506928,10865.250786540613,10865.250786540613,0.32516042676485124,0.32516042676485124,0.32516042676485124,0.32516042676485124,0.32516042676485124,0.32516042676485124,0.0,0.0,0.0,14398.200369199296
1961-05-01,10999.02826764402,13374.648980278069,16580.562122657077,10999.02826764402,10999.02826764402,0.36214069891570627,0.36214069891570627,0.36214069891570627,0.36214069891570627,0.36214069891570627,0.36214069891570627,0.0,0.0,0.0,14982.224051882236
1961-06-01,11137.26499811754,11853.116947351447,15073.41794262857,11137.26499811754,11137.26499811754,0.21424641283184495,0.21424641283184495,0.21424641283184495,0.21424641283184495,0.21424641283184495,0.21424641283184495,0.0,0.0,0.0,13523.384072721887
1961-07-01,11271.042479220947,8977.673154281065,12148.599063143714,11271.042479220947,11271.042479220947,-0.0648864183178533,-0.0648864183178533,-0.0648864183178533,-0.0648864183178533,-0.0648864183178533,-0.0648864183178533,0.0,0.0,0.0,10539.704902035923
1961-08-01,11409.279204422459,7476.967469124501,10633.927088647142,11409.279204422459,11409.279204422459,-0.2059457650622279,-0.2059457650622279,-0.2059457650622279,-0.2059457650622279,-0.2059457650622279,-0.2059457650622279,0.0,0.0,0.0,9059.586469859109
